year,avgPrice
20221229,3322
20221230,3317
20230102,3384
20230103,3370
20230104,3357
20230105,3326
20230106,3314
20230109,3323
20230110,3334
20230111,3345
20230112,3337
20230113,3321
20230116,3308
20230117,3306
20230118,3298
20230119,3371
20230120,3367
20230125,3377
20230126,3347
20230127,3343
20230130,3416
20230131,3430
20230201,3459
20230202,3444
20230203,3469
20230206,3437
20230207,3512
20230208,3561
20230209,3561
20230210,3577
20230213,3529
20230214,3495
20230215,3500
20230216,3526
20230217,3455
20230220,3408
20230221,3441
20230222,3471
20230223,3525
20230224,3525
20230227,3597
20230228,3597
20230302,3574
20230303,3574
20230308,7674
20230309,7924
20230310,7631
20230313,7845
20230314,7791
20230315,7912
20230316,7422
20230317,7366
20230320,7377
20230321,7325
20230322,7114
20230323,7144
20230324,7036
20230327,6941
20230328,6941
20230329,7356
