year,avgTemp,maxTemp,minTemp,rainFall,avgPrice
20181226,10.2,12.4,8.6,0,2990
20181227,7.3,10.8,2.6,0,3114
20181228,1.9,4.7,0.8,0.1,3101
20181231,6.1,8.4,3.6,0,3090
20190102,5.2,8.4,3.6,0,3091
20190103,7.1,10.6,2.6,0,3106
20190104,9.3,11.8,6.6,3.2,3104
20190107,10,12.8,7.6,0,3117
20190108,8.7,12.1,4.1,0,3117
20190109,5.6,7.2,4.4,0,3117
20190110,8.8,11.8,6.7,0,3131
20190111,9.2,11.5,8.1,0.9,3136
20190114,8.7,13.3,4.7,0,3134
20190115,8.4,12.6,5,0,3146
20190116,4.8,7.6,2.9,0,3104
20190117,5,9.1,2,0,3122
20190118,7,11.2,2.9,0,3189
20190121,5.9,10.2,2.6,0,3171
20190122,7.3,13.1,3.5,0,3172
20190123,8.6,14.6,3.1,0,3171
20190124,8.9,13.8,4.6,0,3135
20190125,7.6,13.1,3.2,0,3144
20190128,8.1,11.9,5.3,0,3072
20190129,7.1,10,2.8,0,3056
20190130,9.4,12,7.3,0.2,3056
20190131,6.7,8.4,4.7,14.9,3145
20190201,5,8.7,2.2,0,3218
20190207,11.5,14,7.3,1.4,3193
20190208,8,10.1,6.2,0,3222
20190211,5.2,8.1,2.8,0,3261
20190212,7,10.2,3.3,0,3275
20190213,8.7,12,5.2,0,3275
20190214,7.7,10.3,5.4,0,3294
20190215,8.6,11,5.8,0.8,3294
20190218,8.7,9.8,6.5,3.4,5786
20190219,12.9,17.6,9.1,14.4,5678
20190220,9.7,12.9,6.8,0,5678
20190221,9.9,12.4,8.2,0,5558
20190222,9.7,13.7,7.9,1.6,5505
20190225,11.2,15.8,6.3,0,5477
20190226,12.1,17.8,7.6,0,5434
20190227,11.4,12.2,10.3,0.9,5528
20190228,11.6,15.2,10,0,5296
20190304,11.3,16.1,8.7,0.8,5342
20190305,12,15.8,7.6,0,5300
20190306,11,15,9,5.6,5267
20190307,9.8,14.5,7.1,0,5170
20190308,9.9,14.4,5,0,5192
20190311,10.6,14.4,7.5,0.2,5344
20190312,10.5,15,6.6,0,5419
20190313,8.3,12.3,5.1,0,5338
20190314,8.8,12.9,5.1,0,5553
20190315,10.2,14.8,6.4,0,5574
20190318,11.3,14.9,8.9,8.7,5628
20190319,13.3,18.3,8,0,5636
20190320,15,17.8,10.5,13.2,5567
20191011,21.6,25.2,16.9,0,5969
20191014,19.7,24.1,15.6,0,5995
20191015,18.8,22.5,15.7,0,5569
20191016,18.2,22.1,15.1,0,5257
20191017,19.3,23.6,14.5,0,4843
20191018,19.2,22,17.8,2.6,4773
20191021,19.8,23.5,16.1,0,4779
20191022,20.4,24.5,17,0,4570
20191023,20.4,23.2,19.2,0,4388
20191024,20.1,23.7,18.1,0.4,4352
20191025,20.2,24.5,16.4,0,4216
20191028,16.8,20,14.9,0,4118
20191029,17.7,23.1,13.9,0,4001
20191030,16.6,20.6,13.1,0,4013
20191031,17.2,21.3,13.4,0,3637
20191101,18.6,23.4,13.9,0,3150
20191104,17.4,21.3,14.9,0.3,3131
20191105,17.4,21,15,0,3157
20191106,17,21.7,13.6,0,3135
20191107,16.9,20.8,13.9,0,2998
20191108,15.4,18.9,12.3,0,2984
20191111,16.2,19.7,13.4,0,3032
20191112,15.6,19.2,12.1,0,2987
20191113,15.8,19,12.7,0,2975
20191114,12.3,15.2,8.4,0,2897
20191115,12.5,16.6,7.4,0,2897
20191118,15.6,21.3,10.8,9.9,2850
20191119,10.5,13.4,8.4,0,2842
